Wk,Day,Family,OT1,OT2,OT3,Full OT,Psalms,NT
,,,,,,,,
1,Mon,Genesis 1,Genesis 1,2 Samuel 1,1 Chronicles 1,Genesis 1-3,1-2,Mark 1
,Tue,Genesis 2,Genesis 2,2 Samuel 2,1 Chronicles 2,Genesis 4-6,3,Mark 2
,Wed,Genesis 3,Genesis 3,2 Samuel 3,1 Chronicles 3,Genesis 7-9,4,Mark 3
,Thu,Genesis 4,Genesis 4,2 Samuel 4,1 Chronicles 4,Genesis 10-12,5,Mark 4
,Fri,Genesis 5,Genesis 5,2 Samuel 5,1 Chronicles 5,Genesis 13-15,6,Mark 5
,,,,,,,,
2,Mon,Genesis 6,Genesis 6,2 Samuel 6,1 Chronicles 6,Genesis 16-18,7,Mark 6
,Tue,Genesis 7,Genesis 7,2 Samuel 7,1 Chronicles 7,Genesis 19-21,8,Mark 7
,Wed,Genesis 8,Genesis 8,2 Samuel 8,1 Chronicles 8,Genesis 22-24,9-10,Mark 8
,Thu,Genesis 9,Genesis 9,2 Samuel 9,1 Chronicles 9,Genesis 25-27,11,Mark 9
,Fri,Genesis 10,Genesis 10,2 Samuel 10,1 Chronicles 10,Genesis 28-30,12,Mark 10
,,,,,,,,
3,Mon,Genesis 11,Genesis 11,2 Samuel 11,1 Chronicles 11,Genesis 31-33,13-14,Mark 11
,Tue,Genesis 12,Genesis 12,2 Samuel 12,1 Chronicles 12,Genesis 34-36,15,Mark 12
,Wed,Genesis 13,Genesis 13,2 Samuel 13,1 Chronicles 13,Genesis 37-39,16,Mark 13
,Thu,Genesis 14,Genesis 14,2 Samuel 14,1 Chronicles 14,Genesis 40-42,17,Mark 14
,Fri,Genesis 15,Genesis 15,2 Samuel 15,1 Chronicles 15,Genesis 43-45,18,Mark 15
,,,,,,,,
4,Mon,Exodus 1,Genesis 16,2 Samuel 16,1 Chronicles 16,Genesis 46-48,19,Mark 16
,Tue,Exodus 2,Genesis 17,2 Samuel 17,1 Chronicles 17,Genesis 49-50,20,James 1
,Wed,Exodus 3,Genesis 18,2 Samuel 18,1 Chronicles 18,Exodus 1-4 ,21,James 2
,Thu,Exodus 4,Genesis 19,2 Samuel 19,1 Chronicles 19,Exodus 5-7,22,James 3
,Fri,Exodus 5,Genesis 20,2 Samuel 20,1 Chronicles 20,Exodus 8-10,23-24,James 4
,,,,,,,,
5,Mon,Exodus 6,Genesis 21,2 Samuel 21,1 Chronicles 21,Exodus 11-13,25,James 5
,Tue,Exodus 7,Genesis 22,2 Samuel 22,1 Chronicles 22,Exodus 14-16,26,Galatians 1
,Wed,Exodus 8,Genesis 23,2 Samuel 23,1 Chronicles 23,Exodus 17-19,27,Galatians 2
,Thu,Exodus 9,Genesis 24,2 Samuel 24,1 Chronicles 24,Exodus 20-22,28-29,Galatians 3
,Fri,Exodus 10,Genesis 25,1 Kings 1,1 Chronicles 25,Exodus 23-25,30,Galatians 4
,,,,,,,,
6,Mon,Exodus 11,Genesis 26,1 Kings 2,1 Chronicles 26,Exodus 26-28,31,Galatians 5
,Tue,Exodus 12,Genesis 27,1 Kings 3,1 Chronicles 27,Exodus 29-31,32,Galatians 6
,Wed,Exodus 13,Genesis 28,1 Kings 4,1 Chronicles 28,Exodus 32-34,33,1 Thessalonians 1
,Thu,Exodus 14,Genesis 29,1 Kings 5,1 Chronicles 29,Exodus 35-37,34,1 Thessalonians 2
,Fri,Exodus 15,Genesis 30,1 Kings 6,,Exodus 38-40,35,1 Thessalonians 3
,,,,,,,,
7,Mon,Exodus 16,Genesis 31,1 Kings 7,2 Chronicles 1,Leviticus 1-3,36,1 Thessalonians 4
,Tue,Exodus 17,Genesis 32,1 Kings 8,2 Chronicles 2,Leviticus 4-6,37,1 Thessalonians 5
,Wed,Exodus 18,Genesis 33,1 Kings 9,2 Chronicles 3,Leviticus 7-9,38,2 Thessalonians 1
,Thu,Exodus 19,Genesis 34,1 Kings 10,2 Chronicles 4,Leviticus 10-12,39,2 Thessalonians 2
,Fri,Exodus 20,Genesis 35,1 Kings 11,2 Chronicles 5,Leviticus 13-15,40,2 Thessalonians 3
,,,,,,,,
8,Mon,Leviticus 16,Genesis 36,Proverbs 1,2 Chronicles 6,Leviticus 16-18,41,1 Corinthians 1
,Tue,Deuteronomy 1,Genesis 37,Proverbs 2,2 Chronicles 7,Leviticus 19-21,42-43,1 Corinthians 2
,Wed,Deuteronomy 2,Genesis 38,Proverbs 3,2 Chronicles 8,Leviticus 22-24,44,1 Corinthians 3
,Thu,Deuteronomy 3,Genesis 39,Proverbs 4,2 Chronicles 9,Leviticus 25-27,45,1 Corinthians 4
,Fri,Deuteronomy 4,Genesis 40,Proverbs 5,2 Chronicles 10,Numbers 1-3,46,1 Corinthians 5
,,,,,,,,
9,Mon,Deuteronomy 5,Genesis 41,Proverbs 6,2 Chronicles 11,Numbers 4-6,47-48,1 Corinthians 6
,Tue,Deuteronomy 6,Genesis 42,Proverbs 7,2 Chronicles 12,Numbers 7-9,49,1 Corinthians 7
,Wed,Deuteronomy 7,Genesis 43,Proverbs 8,2 Chronicles 13,Numbers 10-12,50,1 Corinthians 8
,Thu,Deuteronomy 8,Genesis 44,Proverbs 9,2 Chronicles 14,Numbers 13-15,51,1 Corinthians 9
,Fri,Deuteronomy 9,Genesis 45,Proverbs 10,2 Chronicles 15,Numbers 16-18,52,1 Corinthians 10
,,,,,,,,
10,Mon,Joshua 1,Genesis 46,Proverbs 11,2 Chronicles 16,Numbers 19-21,53,1 Corinthians 11
,Tue,Joshua 2,Genesis 47,Proverbs 12,2 Chronicles 17,Numbers 22-24,54,1 Corinthians 12
,Wed,Joshua 3,Genesis 48,Proverbs 13,2 Chronicles 18,Numbers 25-27,55,1 Corinthians 13
,Thu,Joshua 4,Genesis 49,Proverbs 14,2 Chronicles 19,Numbers 28-30,56,1 Corinthians 14
,Fri,Joshua 5,Genesis 50,Proverbs 15,2 Chronicles 20,Numbers 31-33,57-58,1 Corinthians 15
,,,,,,,,
11,Mon,Joshua 6,Exodus 1,Proverbs 16,2 Chronicles 21,Numbers 34-36,59,1 Corinthians 16
,Tue,Joshua 7,Exodus 2,Proverbs 17,2 Chronicles 22,Deuteronomy 1-4,60-61,Philippians 1
,Wed,Joshua 8,Exodus 3,Proverbs 18,2 Chronicles 23,Deuteronomy 5-7,62,Philippians 2
,Thu,Joshua 9,Exodus 4,Proverbs 19,2 Chronicles 24,Deuteronomy 8-10,63,Philippians 3
,Fri,Joshua 10,Exodus 5,Proverbs 20,2 Chronicles 25,Deuteronomy 11-13,64,Philippians 4
,,,,,,,,
12,Mon,Joshua 24,Exodus 6,Proverbs 21,2 Chronicles 26,Deuteronomy 14-16,65,Philemon 1
,Tue,Judges 1,Exodus 7,Proverbs 22,2 Chronicles 27,Deuteronomy 17-19,66,Colossians 1
,Wed,Judges 2,Exodus 8,Proverbs 23,2 Chronicles 28,Deuteronomy 20-22,67,Colossians 2
,Thu,1 Samuel 1,Exodus 9,Proverbs 24,Hosea 1,Deuteronomy 23-25,68,Colossians 3
,Fri,1 Samuel 2,Exodus 10,Proverbs 25,Hosea 2,Deuteronomy 26-28,69-70,Colossians 4
,,,,,,,,
13,Mon,1 Samuel 3,Exodus 11,Proverbs 26,Hosea 3,Deuteronomy 29-31,71,Ephesians 1
,Tue,1 Samuel 8,Exodus 12,Proverbs 27,Hosea 4,Deuteronomy 32-34,72,Ephesians 2
